2|2|2021-11-13|13:58:25|28.52|27.09|2.85|2.0|33.36
3|3|2021-10-01|14:02:52|25.9|25.9|2.59|1.81|30.3
4|3|2021-10-02|14:35:37|83.3|83.3|8.33|5.83|97.46
5|5|2021-10-03|15:30:10|55.6|52.82|5.56|3.89|1.0
7|7|2021-10-05|15:30:34|11.8|11.8|1.18|0.83|13.81
8|9|2021-10-15|15:30:44|21.6|21.6|2.16|1.51|25.27
9|8|2021-10-06|15:31:25|27.8|27.8|2.78|1.95|32.53
10|11|2021-10-07|15:31:34|85.4|85.4|8.54|5.98|99.92
11|10|2021-10-07|15:34:52|179.8|179.8|17.98|12.59|210.37
12|12|2021-10-08|15:35:01|25.2|25.2|2.52|1.76|29.48
13|13|2021-10-09|15:35:51|59.4|56.43|5.94|4.16|69.5
14|14|2021-10-10|15:36:05|26.2|26.2|2.62|1.83|30.65
15|15|2021-10-11|15:36:11|27.8|27.8|2.78|1.95|32.53
16|16|2021-10-12|15:36:17|45.7|45.7|4.57|3.2|53.47
17|17|2021-10-13|15:36:28|69.2|69.2|6.92|4.84|80.96
18|18|2021-10-14|15:36:32|33.2|33.2|3.32|2.32|38.84
19|19|2021-10-15|15:36:38|21.6|21.6|2.16|1.51|25.27
20|20|2021-10-16|15:36:44|179.8|179.8|17.98|12.59|210.37
21|21|2021-10-17|15:36:55|85.4|85.4|8.54|5.98|99.92
22|22|2021-10-18|15:37:02|25.2|25.2|2.52|1.76|29.48
23|23|2021-10-19|15:37:11|59.4|59.4|5.94|4.16|69.5
24|24|2021-10-20|15:37:16|26.2|26.2|2.62|1.83|30.65
25|25|2021-10-21|15:37:20|27.8|27.8|2.78|1.95|32.53
26|26|2021-10-22|15:37:28|45.7|45.7|4.57|3.2|53.47
27|27|2021-10-23|15:37:38|69.2|69.2|6.92|4.84|80.96
28|28|2021-10-24|15:37:43|33.2|33.2|3.32|2.32|38.84
29|29|2021-10-25|15:37:47|21.6|21.6|2.16|1.51|25.27
30|30|2021-10-26|15:37:52|179.8|179.8|17.98|12.59|210.37
31|31|2021-10-27|15:38|85.4|85.4|8.54|5.98|99.92
32|32|2021-10-28|15:38:09|25.2|25.2|2.52|1.76|29.48
32|33|2021-10-29|15:43:56|59.4|59.4|5.94|4.16|69.5
33|34|2021-10-29|15:44:02|26.2|26.2|2.62|1.83|30.65
34|35|2021-10-30|15:44:10|27.8|27.8|2.78|1.95|32.53
35|36|2021-10-01|15:44:15|45.7|45.7|4.57|3.2|53.47
36|37|2021-10-04|15:44:20|69.2|69.2|6.92|4.84|80.96
37|38|2021-10-12|15:44:25|33.2|33.2|3.32|2.32|38.84
38|39|2021-10-30|15:44:33|21.6|21.6|2.16|1.51|25.27
39|40|2021-11-13|15:44:39|179.8|179.8|17.98|12.59|210.37
40|41|2021-11-05|15:44:48|85.4|85.4|8.54|5.98|99.92
41|42|2021-11-07|15:44:54|93.9|93.9|9.39|6.57|109.86
42|43|2021-11-13|15:45:02|83.3|83.3|8.33|5.83|97.46
43|44|2021-11-13|15:45:09|36.2|36.2|3.62|2.53|42.35
43|51|2021-11-13|18:51:48|13.9|13.21|1.39|0.97|15.57
